keyword,appearances,early_avg_rank,late_avg_rank,new_entry,rising_score
수미감자10kg,1,,405,True,40.0
마늘,15,67.7,35.4,False,39.84
백제쌀국수,3,,418,True,39.7
생블루베리1kg,1,,408,True,39.7
용과,9,444.8,409.6,False,39.65
보리쌀,3,,421,True,39.4
퇴촌토마토,1,,411,True,39.4
컷팅수박,3,,421.3,True,39.37
모발콜라겐,2,,416.5,True,39.35
비타민d,15,162,130.2,False,39.25
월드콘,4,,428.5,True,39.15
델푸릇,1,,415,True,39.0
팽현숙족발,1,,416,True,38.9
통밀빵,1,,417,True,38.8
케어젠코글루타이드,2,,422,True,38.8
ydy베르베린,1,,418,True,38.7
라이코펜,3,,428.7,True,38.63
올리브오일캡슐,10,411.8,378.2,False,38.6
얼려먹는피크닉,1,,419,True,38.6
dem관절영양제,3,149,112,False,38.5
치아바타,1,,423,True,38.2
번데기,1,,423,True,38.2
발사믹식초,14,297.5,266.5,False,38.0
한가위한우선물세트,1,,425,True,38.0
레드키위,1,,426,True,37.9
메밀국수,15,295.4,265.1,False,37.8
먹태,3,,437.7,True,37.73
비정제설탕,2,,433,True,37.7
족구이,2,,433.5,True,37.65
호박팥차,1,,429,True,37.6
소라,3,425,389,False,37.5
액티바이즈,1,,430,True,37.5
찰보리쌀,4,,445.2,True,37.48
오레오호떡맛,2,,438,True,37.2
찰보리,1,,434,True,37.1
조기,2,,440.5,True,36.95
카무트,2,,441,True,36.9
스포츠리서치오메가3,1,,436,True,36.9
상황버섯진액,1,,436,True,36.9
경탁주,1,,438,True,36.7
대구포,1,,440,True,36.5
마늘한접가격,2,,445.5,True,36.45
쏘콕,1,,441,True,36.4
청포도,2,,447,True,36.3
귀리,14,319.2,289.9,False,36.29
연유,1,,444,True,36.1
디카페인원두,2,,450,True,36.0
계피,1,,447,True,35.8
곱창전골,1,,449,True,35.6
서재걸다이어트,1,,451,True,35.4
생맥산,1,,452,True,35.3
개복숭아,15,141.9,114.2,False,35.11
자연원딸기바나나,1,,454,True,35.1
스테비아커피믹스,3,441,407.5,False,35.0
안동백진주쌀,1,,455,True,35.0
피쉬서핑,1,,455,True,35.0
보넬드당근주스,1,,455,True,35.0
돈까스,1,,457,True,34.8
개복숭아가격,2,,463,True,34.7
링티,15,105.9,78.8,False,34.61
팔레오멀티산양유단백질,1,,460,True,34.5
장어,15,178.9,151.9,False,34.48
낙지,3,,471.3,True,34.37
한끼통살,3,,471.3,True,34.37
제스프리골드키위,1,,462,True,34.3
설탕,15,180.3,153.6,False,34.16
홍감자,15,69,42.4,False,34.12
무뼈닭발,1,,466,True,33.9
참외꿀가정용,1,,466,True,33.9
바르온삼계탕,1,,466,True,33.9
기버터,8,459,429.1,False,33.86
칼마디,1,,467,True,33.8
펩시제로라임,2,,472.5,True,33.75
도라지청,1,,469,True,33.6
훈제연어,1,,470,True,33.5
포카리스웨트500,1,,470,True,33.5
설날한우선물세트,1,,471,True,33.4
하리보젤리,2,,478,True,33.2
호두과자답례품,1,,473,True,33.2
소등골,1,,474,True,33.1
게토레이,1,,476,True,32.9
고기,1,,477,True,32.8
현미,1,,478,True,32.7
황태채1kg,1,,478,True,32.7
바위굴,1,,479,True,32.6
엘리게이터파이,1,,479,True,32.6
문경사과,1,,481,True,32.4
건빵,1,,481,True,32.4
다이어트식단,1,,481,True,32.4
실온닭가슴살,5,448,418.2,False,32.25
0.25l올리브오일,1,,483,True,32.2
컵누들,1,,484,True,32.1
클로렐라,1,,486,True,31.9
포도당캔디,1,,487,True,31.8
망고수박,1,,488,True,31.7
뉴케어당플랜,15,211.3,187.1,False,31.66
기정떡,1,,492,True,31.3
밥스누파이토100,1,,493,True,31.2
라면,15,201.1,177.5,False,31.14
하이퍼셀대마종자유,11,230.8,205.2,False,31.13
매일두유,1,,494,True,31.1
유기농황매실,1,,496,True,30.9
우곡수박,1,,496,True,30.9
아미산쑥티,1,,497,True,30.8
햇반210g36개,1,,497,True,30.8
햇옥수수,1,,498,True,30.7
커피,1,,498,True,30.7
햇감자,14,279.2,255.5,False,30.67
마시는견과류,1,,499,True,30.6
농심가락짜장,1,,500,True,30.5
hw-3,1,,500,True,30.5
트라피스트잼,1,,500,True,30.5
청주미친만두,1,,500,True,30.5
체리,15,40.7,17.9,False,30.34
고등어,15,209.3,186.8,False,30.04
혼합잡곡,4,463.5,435.5,False,30.0
하루견과,15,73.6,51.6,False,29.45
약과,5,364.7,338,False,29.17
사미헌갈비탕,11,355.3,331.8,False,29.08
파워그레인,2,440,412,False,29.0
사탕,5,435.5,409.3,False,28.67
눈영양제,14,319.9,299,False,27.86
실비김치,8,356,332.2,False,27.8
신비복숭아,15,76.7,56.9,False,27.34
감동란,7,420.7,397.2,False,26.92
아몬드,15,97.1,78.4,False,26.27
냉동아보카도,3,395,370.5,False,26.0
자두,15,85.9,67.4,False,25.98
뼈엔엠비피mbp,15,228.3,209.9,False,25.91
하겐다즈,11,350.8,330.6,False,25.68
커피믹스,15,153.1,135.1,False,25.52
마그네슘영양제,15,238.1,220.1,False,25.52
아몬드브리즈,15,233.3,216.1,False,24.66
곱창김,15,224.7,207.6,False,24.59
비정제원당,15,106.7,89.9,False,24.34
수미감자,9,413.5,393.8,False,24.2
복분자,15,37,20.4,False,24.12
임박식품,2,487,464,False,24.0
굴비,2,384,361,False,24.0
멜라토닌,15,118.4,102.1,False,23.8
도미솔김치,15,280.3,264,False,23.79
삼다수500ml,15,207.9,191.6,False,23.73
호두,15,134.4,118.4,False,23.55
미역귀,3,431,409,False,23.5
아르기닌,15,171.7,155.8,False,23.46
리포좀글루타치온,13,297.1,280.3,False,23.31
땅콩,14,280.5,264.6,False,22.88
강황가루,14,257.8,242,False,22.83
비트즙,15,314.6,299.2,False,22.82
소비기한,3,408,387,False,22.5
생새우,15,104.1,89.2,False,22.39
키위,11,377.8,361.2,False,22.13
약밥,11,360,343.8,False,21.67
cca주스,15,134.6,120.5,False,21.57
진미채,15,116.4,102.5,False,21.43
국내산순살참돔,5,194,175.2,False,21.25
미숫가루,15,126.9,113.1,False,21.23
구강유산균,15,191.9,178.1,False,21.23
불닭볶음면,6,445,427.2,False,20.75
닷사이23,15,275.7,262.5,False,20.71
도가니탕,5,449,431.2,False,20.25
정관장홍삼정,2,497,478,False,20.0
알부민,15,74.4,62,False,19.93
멜론,15,88.6,76.9,False,19.2
산토리위스키,5,442.3,426,False,18.83
김,13,367,355,False,18.5
코인육수,14,329.9,318.9,False,18.0
레이니어체리,2,500,483,False,18.0
샤오커오라사탕,15,105.4,95,False,17.93
삼겹살,15,154.3,143.9,False,17.91
밀크씨슬,15,78.7,68.4,False,17.84
천안수신메론,7,354,339.7,False,17.83
반찬,13,276.8,265.6,False,17.68
고구마,15,100.1,90.2,False,17.39
상추,11,347.1,335.5,False,17.14
이클립스,15,134.6,125.4,False,16.7
치아씨드,10,411.1,399.7,False,16.48
수향미10kg,15,50.6,41.6,False,16.45
마시는하루견과,2,192,177,False,16.0
돌체구스토캡슐,8,425.4,413.7,False,15.73
민물장어,12,334,324.8,False,15.17
계란30구,15,206.6,199,False,15.07
참기름,15,94.9,87.6,False,14.73
무알콜맥주,15,277.1,270,False,14.64
파프리카,3,385,372,False,14.5
홍매실,15,157.7,150.9,False,14.34
닭다리살,15,110.6,103.8,False,14.32
